,PC 1,PC 2,Class
662,20.376976,-20.202168,All candidates
663,-66.9736,-17.513325,All candidates
664,47.310326,25.068508,All candidates
665,35.087387,-57.09001,All candidates
666,-37.19954,32.380924,All candidates
667,-39.567234,-41.72781,All candidates
668,-20.246712,37.30319,All candidates
669,-79.62892,2.4353218,All candidates
670,54.8173,-21.002024,All candidates
671,3.272478,-6.270968,All candidates
672,-7.2396197,-0.23157811,All candidates
673,2.576321,12.421801,All candidates
674,-20.54694,30.853184,All candidates
675,-18.117748,36.950825,All candidates
676,13.244259,78.34501,All candidates
677,-84.3554,5.8900476,All candidates
678,-15.915947,38.558872,All candidates
679,11.69869,-49.7982,All candidates
680,8.040185,77.159134,All candidates
681,13.141317,-48.168354,All candidates
682,-10.728701,46.7156,All candidates
683,-2.7665,37.08772,All candidates
684,28.451164,-55.032898,All candidates
685,-19.31808,-68.39484,All candidates
686,-34.230232,23.131924,All candidates
687,25.626024,-14.626744,All candidates
688,19.82203,-29.639187,All candidates
689,26.850954,-48.589153,All candidates
690,35.544907,12.442674,All candidates
691,37.863293,-55.544754,All candidates
692,44.96123,-24.228476,All candidates
693,-28.857798,62.2819,All candidates
694,-23.765726,7.2684193,All candidates
695,5.3320627,3.4012938,All candidates
696,36.794453,12.503622,All candidates
697,41.412834,-13.5840025,All candidates
698,-5.0611544,-42.873848,All candidates
699,-19.206406,5.204484,All candidates
700,-68.05835,-19.898336,All candidates
701,16.650898,-20.378218,All candidates
702,16.650898,-20.378218,All candidates
703,16.6509,-20.378214,All candidates
704,4.4702654,-58.3794,All candidates
705,45.33392,25.961838,All candidates
706,57.12056,-26.885866,All candidates
707,-9.827404,50.5196,All candidates
708,-9.827385,50.51987,All candidates
709,-18.78754,-3.4797568,All candidates
710,17.431654,-19.080257,All candidates
711,6.68012,81.00918,All candidates
712,6.680209,81.0093,All candidates
713,-10.39995,46.521893,All candidates
714,5.3323812,-15.754642,All candidates
715,-17.776142,-5.2410693,All candidates
716,-17.761984,-5.300808,All candidates
